2022-06-23 00:54:21 status unpacked libp11-kit0:amd64 0.23.3-2+deb9u1
2022-06-23 00:54:21 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2022-06-23 00:54:21 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2022-06-23 00:54:21 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2022-06-23 00:54:21 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2022-06-23 00:54:21 install libgnutls30:amd64 <none> 3.5.8-5+deb9u6
2022-06-23 00:54:21 status half-installed libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:21 status unpacked libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:21 status unpacked libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:21 install libunistring0:amd64 <none> 0.9.6+really0.9.3-0.1
2022-06-23 00:54:21 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2022-06-23 00:54:21 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2022-06-23 00:54:21 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2022-06-23 00:54:21 install libidn2-0:amd64 <none> 0.16-1+deb9u1
2022-06-23 00:54:21 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2022-06-23 00:54:21 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2022-06-23 00:54:21 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2022-06-23 00:54:21 install libpsl5:amd64 <none> 0.17.0-3
2022-06-23 00:54:21 status half-installed libpsl5:amd64 0.17.0-3
2022-06-23 00:54:21 status unpacked libpsl5:amd64 0.17.0-3
2022-06-23 00:54:21 status unpacked libpsl5:amd64 0.17.0-3
2022-06-23 00:54:21 install wget:amd64 <none> 1.18-5+deb9u3
2022-06-23 00:54:21 status half-installed wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:21 status unpacked wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:21 status unpacked wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:21 install libkeyutils1:amd64 <none> 1.5.9-9
2022-06-23 00:54:21 status half-installed libkeyutils1:amd64 1.5.9-9
2022-06-23 00:54:21 status unpacked libkeyutils1:amd64 1.5.9-9
2022-06-23 00:54:21 status unpacked libkeyutils1:amd64 1.5.9-9
2022-06-23 00:54:21 install libkrb5support0:amd64 <none> 1.15-1+deb9u3
2022-06-23 00:54:21 status half-installed libkrb5support0:amd64 1.15-1+deb9u3
2022-06-23 00:54:21 status unpacked libkrb5support0:amd64 1.15-1+deb9u3
2022-06-23 00:54:21 status unpacked libkrb5support0:amd64 1.15-1+deb9u3
2022-06-23 00:54:21 install libk5crypto3:amd64 <none> 1.15-1+deb9u3
2022-06-23 00:54:21 status half-installed libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:21 status unpacked libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:21 status unpacked libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:21 install libkrb5-3:amd64 <none> 1.15-1+deb9u3
2022-06-23 00:54:21 status half-installed libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:22 status unpacked libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:22 status unpacked libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:22 install libgssapi-krb5-2:amd64 <none> 1.15-1+deb9u3
2022-06-23 00:54:22 status half-installed libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:22 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:22 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:22 install libsasl2-modules-db:amd64 <none> 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 install libnghttp2-14:amd64 <none> 1.18.1-1+deb9u2
2022-06-23 00:54:22 status half-installed libnghttp2-14:amd64 1.18.1-1+deb9u2
2022-06-23 00:54:22 status unpacked libnghttp2-14:amd64 1.18.1-1+deb9u2
2022-06-23 00:54:22 status unpacked libnghttp2-14:amd64 1.18.1-1+deb9u2
2022-06-23 00:54:22 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:22 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:22 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:22 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:22 install libssh2-1:amd64 <none> 1.7.0-1+deb9u2
2022-06-23 00:54:22 status half-installed libssh2-1:amd64 1.7.0-1+deb9u2
2022-06-23 00:54:22 status unpacked libssh2-1:amd64 1.7.0-1+deb9u2
2022-06-23 00:54:22 status unpacked libssh2-1:amd64 1.7.0-1+deb9u2
2022-06-23 00:54:22 install libcurl3-gnutls:amd64 <none> 7.52.1-5+deb9u16
2022-06-23 00:54:22 status half-installed libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 install apt-transport-https:amd64 <none> 1.4.11
2022-06-23 00:54:22 status half-installed apt-transport-https:amd64 1.4.11
2022-06-23 00:54:22 status unpacked apt-transport-https:amd64 1.4.11
2022-06-23 00:54:22 status unpacked apt-transport-https:amd64 1.4.11
2022-06-23 00:54:22 install openssl:amd64 <none> 1.1.0l-1~deb9u6
2022-06-23 00:54:22 status half-installed openssl:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:22 status unpacked openssl:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:22 status unpacked openssl:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:22 install ca-certificates:all <none> 20200601~deb9u2
2022-06-23 00:54:22 status half-installed ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:22 status unpacked ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:22 status unpacked ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:22 install libcurl3:amd64 <none> 7.52.1-5+deb9u16
2022-06-23 00:54:22 status half-installed libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 status unpacked libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 status unpacked libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 install curl:amd64 <none> 7.52.1-5+deb9u16
2022-06-23 00:54:22 status half-installed curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 status unpacked curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 status unpacked curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:22 startup packages configure
2022-06-23 00:54:22 configure libnghttp2-14:amd64 1.18.1-1+deb9u2 <none>
2022-06-23 00:54:22 status unpacked libnghttp2-14:amd64 1.18.1-1+deb9u2
2022-06-23 00:54:22 status half-configured libnghttp2-14:amd64 1.18.1-1+deb9u2
2022-06-23 00:54:22 status installed libnghttp2-14:amd64 1.18.1-1+deb9u2
2022-06-23 00:54:22 configure libldap-common:all 2.4.44+dfsg-5+deb9u9 <none>
2022-06-23 00:54:22 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 status installed libldap-common:all 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:22 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2 <none>
2022-06-23 00:54:22 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2 <none>
2022-06-23 00:54:22 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3+deb9u2
2022-06-23 00:54:22 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2022-06-23 00:54:22 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2022-06-23 00:54:22 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2022-06-23 00:54:22 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2022-06-23 00:54:22 configure libssl1.0.2:amd64 1.0.2u-1~deb9u7 <none>
2022-06-23 00:54:22 status unpacked libssl1.0.2:amd64 1.0.2u-1~deb9u7
2022-06-23 00:54:22 status half-configured libssl1.0.2:amd64 1.0.2u-1~deb9u7
2022-06-23 00:54:22 status installed libssl1.0.2:amd64 1.0.2u-1~deb9u7
2022-06-23 00:54:22 configure libgmp10:amd64 2:6.1.2+dfsg-1+deb9u1 <none>
2022-06-23 00:54:22 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1+deb9u1
2022-06-23 00:54:22 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1+deb9u1
2022-06-23 00:54:22 status installed libgmp10:amd64 2:6.1.2+dfsg-1+deb9u1
2022-06-23 00:54:22 configure libssh2-1:amd64 1.7.0-1+deb9u2 <none>
2022-06-23 00:54:22 status unpacked libssh2-1:amd64 1.7.0-1+deb9u2
2022-06-23 00:54:22 status half-configured libssh2-1:amd64 1.7.0-1+deb9u2
2022-06-23 00:54:22 status installed libssh2-1:amd64 1.7.0-1+deb9u2
2022-06-23 00:54:22 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2022-06-23 00:54:22 status half-configured libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:22 status installed libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:23 configure libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2022-06-23 00:54:23 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:23 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2022-06-23 00:54:23 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2022-06-23 00:54:23 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2022-06-23 00:54:23 configure libssl1.1:amd64 1.1.0l-1~deb9u6 <none>
2022-06-23 00:54:23 status unpacked libssl1.1:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:23 status half-configured libssl1.1:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:23 status installed libssl1.1:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:23 configure openssl:amd64 1.1.0l-1~deb9u6 <none>
2022-06-23 00:54:23 status unpacked openssl:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:23 status unpacked openssl:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:23 status half-configured openssl:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:23 status installed openssl:amd64 1.1.0l-1~deb9u6
2022-06-23 00:54:23 configure libffi6:amd64 3.2.1-6 <none>
2022-06-23 00:54:23 status unpacked libffi6:amd64 3.2.1-6
2022-06-23 00:54:23 status half-configured libffi6:amd64 3.2.1-6
2022-06-23 00:54:23 status installed libffi6:amd64 3.2.1-6
2022-06-23 00:54:23 configure libkeyutils1:amd64 1.5.9-9 <none>
2022-06-23 00:54:23 status unpacked libkeyutils1:amd64 1.5.9-9
2022-06-23 00:54:23 status half-configured libkeyutils1:amd64 1.5.9-9
2022-06-23 00:54:23 status installed libkeyutils1:amd64 1.5.9-9
2022-06-23 00:54:23 configure ca-certificates:all 20200601~deb9u2 <none>
2022-06-23 00:54:23 status unpacked ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:23 status half-configured ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:24 status installed ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:24 status triggers-pending ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:24 configure netbase:all 5.4 <none>
2022-06-23 00:54:24 status unpacked netbase:all 5.4
2022-06-23 00:54:24 status unpacked netbase:all 5.4
2022-06-23 00:54:24 status unpacked netbase:all 5.4
2022-06-23 00:54:24 status unpacked netbase:all 5.4
2022-06-23 00:54:24 status half-configured netbase:all 5.4
2022-06-23 00:54:24 status installed netbase:all 5.4
2022-06-23 00:54:24 configure libidn2-0:amd64 0.16-1+deb9u1 <none>
2022-06-23 00:54:24 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2022-06-23 00:54:24 status half-configured libidn2-0:amd64 0.16-1+deb9u1
2022-06-23 00:54:24 status installed libidn2-0:amd64 0.16-1+deb9u1
2022-06-23 00:54:24 configure libpsl5:amd64 0.17.0-3 <none>
2022-06-23 00:54:24 status unpacked libpsl5:amd64 0.17.0-3
2022-06-23 00:54:24 status half-configured libpsl5:amd64 0.17.0-3
2022-06-23 00:54:24 status installed libpsl5:amd64 0.17.0-3
2022-06-23 00:54:24 configure libkrb5support0:amd64 1.15-1+deb9u3 <none>
2022-06-23 00:54:24 status unpacked libkrb5support0:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status half-configured libkrb5support0:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status installed libkrb5support0:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 configure libhogweed4:amd64 3.3-1+deb9u1 <none>
2022-06-23 00:54:24 status unpacked libhogweed4:amd64 3.3-1+deb9u1
2022-06-23 00:54:24 status half-configured libhogweed4:amd64 3.3-1+deb9u1
2022-06-23 00:54:24 status installed libhogweed4:amd64 3.3-1+deb9u1
2022-06-23 00:54:24 configure libp11-kit0:amd64 0.23.3-2+deb9u1 <none>
2022-06-23 00:54:24 status unpacked libp11-kit0:amd64 0.23.3-2+deb9u1
2022-06-23 00:54:24 status half-configured libp11-kit0:amd64 0.23.3-2+deb9u1
2022-06-23 00:54:24 status installed libp11-kit0:amd64 0.23.3-2+deb9u1
2022-06-23 00:54:24 configure libk5crypto3:amd64 1.15-1+deb9u3 <none>
2022-06-23 00:54:24 status unpacked libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status half-configured libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status installed libk5crypto3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 configure libgnutls30:amd64 3.5.8-5+deb9u6 <none>
2022-06-23 00:54:24 status unpacked libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:24 status half-configured libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:24 status installed libgnutls30:amd64 3.5.8-5+deb9u6
2022-06-23 00:54:24 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1 <none>
2022-06-23 00:54:24 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:24 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:24 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2022-06-23 00:54:24 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9 <none>
2022-06-23 00:54:24 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:24 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:24 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u9
2022-06-23 00:54:24 configure wget:amd64 1.18-5+deb9u3 <none>
2022-06-23 00:54:24 status unpacked wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 status unpacked wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 status half-configured wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 status installed wget:amd64 1.18-5+deb9u3
2022-06-23 00:54:24 configure libkrb5-3:amd64 1.15-1+deb9u3 <none>
2022-06-23 00:54:24 status unpacked libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status half-configured libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status installed libkrb5-3:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 configure libgssapi-krb5-2:amd64 1.15-1+deb9u3 <none>
2022-06-23 00:54:24 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status half-configured libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 status installed libgssapi-krb5-2:amd64 1.15-1+deb9u3
2022-06-23 00:54:24 configure libcurl3:amd64 7.52.1-5+deb9u16 <none>
2022-06-23 00:54:24 status unpacked libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status half-configured libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status installed libcurl3:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 configure libcurl3-gnutls:amd64 7.52.1-5+deb9u16 <none>
2022-06-23 00:54:24 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status half-configured libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status installed libcurl3-gnutls:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 configure apt-transport-https:amd64 1.4.11 <none>
2022-06-23 00:54:24 status unpacked apt-transport-https:amd64 1.4.11
2022-06-23 00:54:24 status half-configured apt-transport-https:amd64 1.4.11
2022-06-23 00:54:24 status installed apt-transport-https:amd64 1.4.11
2022-06-23 00:54:24 configure curl:amd64 7.52.1-5+deb9u16 <none>
2022-06-23 00:54:24 status unpacked curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status half-configured curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 status installed curl:amd64 7.52.1-5+deb9u16
2022-06-23 00:54:24 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2022-06-23 00:54:24 status half-configured libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:24 status installed libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:24 trigproc ca-certificates:all 20200601~deb9u2 <none>
2022-06-23 00:54:24 status half-configured ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:25 status installed ca-certificates:all 20200601~deb9u2
2022-06-23 00:54:29 startup archives unpack
2022-06-23 00:54:29 install libassuan0:amd64 <none> 2.4.3-2
2022-06-23 00:54:29 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 status half-installed libassuan0:amd64 2.4.3-2
2022-06-23 00:54:29 status unpacked libassuan0:amd64 2.4.3-2
2022-06-23 00:54:29 status unpacked libassuan0:amd64 2.4.3-2
2022-06-23 00:54:29 install pinentry-curses:amd64 <none> 1.0.0-2
2022-06-23 00:54:29 status half-installed pinentry-curses:amd64 1.0.0-2
2022-06-23 00:54:29 status unpacked pinentry-curses:amd64 1.0.0-2
2022-06-23 00:54:29 status unpacked pinentry-curses:amd64 1.0.0-2
2022-06-23 00:54:29 install libnpth0:amd64 <none> 1.3-1
2022-06-23 00:54:29 status half-installed libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status unpacked libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status unpacked libnpth0:amd64 1.3-1
2022-06-23 00:54:29 install readline-common:all <none> 7.0-3
2022-06-23 00:54:29 status half-installed readline-common:all 7.0-3
2022-06-23 00:54:29 status unpacked readline-common:all 7.0-3
2022-06-23 00:54:29 status unpacked readline-common:all 7.0-3
2022-06-23 00:54:29 install libreadline7:amd64 <none> 7.0-3
2022-06-23 00:54:29 status half-installed libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status unpacked libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status unpacked libreadline7:amd64 7.0-3
2022-06-23 00:54:29 install gnupg-agent:amd64 <none> 2.1.18-8~deb9u4
2022-06-23 00:54:29 status half-installed gnupg-agent:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 install libksba8:amd64 <none> 1.3.5-2
2022-06-23 00:54:29 status half-installed libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status unpacked libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status unpacked libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u3
2022-06-23 00:54:29 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 install gnupg:amd64 <none> 2.1.18-8~deb9u4
2022-06-23 00:54:29 status half-installed gnupg:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 install dirmngr:amd64 <none> 2.1.18-8~deb9u4
2022-06-23 00:54:29 status half-installed dirmngr:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2022-06-23 00:54:29 startup packages configure
2022-06-23 00:54:29 configure libnpth0:amd64 1.3-1 <none>
2022-06-23 00:54:29 status unpacked libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status half-configured libnpth0:amd64 1.3-1
2022-06-23 00:54:29 status installed libnpth0:amd64 1.3-1
2022-06-23 00:54:29 configure readline-common:all 7.0-3 <none>
2022-06-23 00:54:29 status unpacked readline-common:all 7.0-3
2022-06-23 00:54:29 status half-configured readline-common:all 7.0-3
2022-06-23 00:54:29 status installed readline-common:all 7.0-3
2022-06-23 00:54:29 configure libreadline7:amd64 7.0-3 <none>
2022-06-23 00:54:29 status unpacked libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status half-configured libreadline7:amd64 7.0-3
2022-06-23 00:54:29 status installed libreadline7:amd64 7.0-3
2022-06-23 00:54:29 configure libksba8:amd64 1.3.5-2 <none>
2022-06-23 00:54:29 status unpacked libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status half-configured libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 status installed libksba8:amd64 1.3.5-2
2022-06-23 00:54:29 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2022-06-23 00:54:29 status half-configured libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 status installed libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 configure libsqlite3-0:amd64 3.16.2-5+deb9u3 <none>
2022-06-23 00:54:29 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2022-06-23 00:54:29 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status half-configured libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 status installed libsqlite3-0:amd64 3.16.2-5+deb9u3
2022-06-23 00:54:29 configure libassuan0:amd64 2.4.3-2 <none>
2022-06-23 00:54:29 status unpacked libassuan0:amd64 2.4.3-2
