2022-06-23 07:22:22 status half-installed curl:amd64 7.74.0-1.3+deb11u1
2022-06-23 07:22:22 status unpacked curl:amd64 7.74.0-1.3+deb11u1
2022-06-23 07:22:22 install libdpkg-perl:all <none> 1.20.10
2022-06-23 07:22:22 status half-installed libdpkg-perl:all 1.20.10
2022-06-23 07:22:22 status unpacked libdpkg-perl:all 1.20.10
2022-06-23 07:22:22 install patch:amd64 <none> 2.7.6-7
2022-06-23 07:22:22 status half-installed patch:amd64 2.7.6-7
2022-06-23 07:22:22 status unpacked patch:amd64 2.7.6-7
2022-06-23 07:22:22 install make:amd64 <none> 4.3-4.1
2022-06-23 07:22:22 status half-installed make:amd64 4.3-4.1
2022-06-23 07:22:22 status unpacked make:amd64 4.3-4.1
2022-06-23 07:22:22 install dpkg-dev:all <none> 1.20.10
2022-06-23 07:22:22 status half-installed dpkg-dev:all 1.20.10
2022-06-23 07:22:22 status unpacked dpkg-dev:all 1.20.10
2022-06-23 07:22:22 install libcc1-0:amd64 <none> 10.2.1-6
2022-06-23 07:22:22 status half-installed libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:22 status unpacked libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:22 install libgomp1:amd64 <none> 10.2.1-6
2022-06-23 07:22:22 status half-installed libgomp1:amd64 10.2.1-6
2022-06-23 07:22:22 status unpacked libgomp1:amd64 10.2.1-6
2022-06-23 07:22:22 install libitm1:amd64 <none> 10.2.1-6
2022-06-23 07:22:22 status half-installed libitm1:amd64 10.2.1-6
2022-06-23 07:22:22 status unpacked libitm1:amd64 10.2.1-6
2022-06-23 07:22:22 install libatomic1:amd64 <none> 10.2.1-6
2022-06-23 07:22:22 status half-installed libatomic1:amd64 10.2.1-6
2022-06-23 07:22:22 status unpacked libatomic1:amd64 10.2.1-6
2022-06-23 07:22:22 install libasan6:amd64 <none> 10.2.1-6
2022-06-23 07:22:22 status half-installed libasan6:amd64 10.2.1-6
2022-06-23 07:22:23 status unpacked libasan6:amd64 10.2.1-6
2022-06-23 07:22:23 install liblsan0:amd64 <none> 10.2.1-6
2022-06-23 07:22:23 status half-installed liblsan0:amd64 10.2.1-6
2022-06-23 07:22:23 status unpacked liblsan0:amd64 10.2.1-6
2022-06-23 07:22:23 install libtsan0:amd64 <none> 10.2.1-6
2022-06-23 07:22:23 status half-installed libtsan0:amd64 10.2.1-6
2022-06-23 07:22:23 status unpacked libtsan0:amd64 10.2.1-6
2022-06-23 07:22:23 install libubsan1:amd64 <none> 10.2.1-6
2022-06-23 07:22:23 status half-installed libubsan1:amd64 10.2.1-6
2022-06-23 07:22:23 status unpacked libubsan1:amd64 10.2.1-6
2022-06-23 07:22:23 install libquadmath0:amd64 <none> 10.2.1-6
2022-06-23 07:22:23 status half-installed libquadmath0:amd64 10.2.1-6
2022-06-23 07:22:23 status unpacked libquadmath0:amd64 10.2.1-6
2022-06-23 07:22:23 install libgcc-10-dev:amd64 <none> 10.2.1-6
2022-06-23 07:22:23 status half-installed libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:23 status unpacked libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:23 install gcc-10:amd64 <none> 10.2.1-6
2022-06-23 07:22:23 status half-installed gcc-10:amd64 10.2.1-6
2022-06-23 07:22:25 status unpacked gcc-10:amd64 10.2.1-6
2022-06-23 07:22:25 install gcc:amd64 <none> 4:10.2.1-1
2022-06-23 07:22:25 status half-installed gcc:amd64 4:10.2.1-1
2022-06-23 07:22:25 status unpacked gcc:amd64 4:10.2.1-1
2022-06-23 07:22:25 install libc-dev-bin:amd64 <none> 2.31-13+deb11u3
2022-06-23 07:22:25 status half-installed libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:25 status unpacked libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:25 install linux-libc-dev:amd64 <none> 5.10.120-1
2022-06-23 07:22:25 status half-installed linux-libc-dev:amd64 5.10.120-1
2022-06-23 07:22:25 status unpacked linux-libc-dev:amd64 5.10.120-1
2022-06-23 07:22:25 install libcrypt-dev:amd64 <none> 1:4.4.18-4
2022-06-23 07:22:25 status half-installed libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:25 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:25 install libtirpc-dev:amd64 <none> 1.3.1-1
2022-06-23 07:22:25 status half-installed libtirpc-dev:amd64 1.3.1-1
2022-06-23 07:22:25 status unpacked libtirpc-dev:amd64 1.3.1-1
2022-06-23 07:22:25 install libnsl-dev:amd64 <none> 1.3.0-2
2022-06-23 07:22:25 status half-installed libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:25 status unpacked libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:25 install libc6-dev:amd64 <none> 2.31-13+deb11u3
2022-06-23 07:22:25 status half-installed libc6-dev:amd64 2.31-13+deb11u3
2022-06-23 07:22:25 status unpacked libc6-dev:amd64 2.31-13+deb11u3
2022-06-23 07:22:25 install libstdc++-10-dev:amd64 <none> 10.2.1-6
2022-06-23 07:22:25 status half-installed libstdc++-10-dev:amd64 10.2.1-6
2022-06-23 07:22:25 status unpacked libstdc++-10-dev:amd64 10.2.1-6
2022-06-23 07:22:25 install g++-10:amd64 <none> 10.2.1-6
2022-06-23 07:22:25 status half-installed g++-10:amd64 10.2.1-6
2022-06-23 07:22:26 status unpacked g++-10:amd64 10.2.1-6
2022-06-23 07:22:26 install g++:amd64 <none> 4:10.2.1-1
2022-06-23 07:22:26 status half-installed g++:amd64 4:10.2.1-1
2022-06-23 07:22:26 status unpacked g++:amd64 4:10.2.1-1
2022-06-23 07:22:26 install libglib2.0-0:amd64 <none> 2.66.8-1
2022-06-23 07:22:26 status half-installed libglib2.0-0:amd64 2.66.8-1
2022-06-23 07:22:26 status unpacked libglib2.0-0:amd64 2.66.8-1
2022-06-23 07:22:26 install pkg-config:amd64 <none> 0.29.2-1
2022-06-23 07:22:26 status half-installed pkg-config:amd64 0.29.2-1
2022-06-23 07:22:26 status unpacked pkg-config:amd64 0.29.2-1
2022-06-23 07:22:26 install re2c:amd64 <none> 2.0.3-1
2022-06-23 07:22:26 status half-installed re2c:amd64 2.0.3-1
2022-06-23 07:22:27 status unpacked re2c:amd64 2.0.3-1
2022-06-23 07:22:27 startup packages configure
2022-06-23 07:22:27 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-06-23 07:22:27 status unpacked libpsl5:amd64 0.21.0-1.2
2022-06-23 07:22:27 status half-configured libpsl5:amd64 0.21.0-1.2
2022-06-23 07:22:27 status installed libpsl5:amd64 0.21.0-1.2
2022-06-23 07:22:27 configure libmagic-mgc:amd64 1:5.39-3 <none>
2022-06-23 07:22:27 status unpacked libmagic-mgc:amd64 1:5.39-3
2022-06-23 07:22:27 status half-configured libmagic-mgc:amd64 1:5.39-3
2022-06-23 07:22:27 status installed libmagic-mgc:amd64 1:5.39-3
2022-06-23 07:22:27 configure libglib2.0-0:amd64 2.66.8-1 <none>
2022-06-23 07:22:27 status unpacked libglib2.0-0:amd64 2.66.8-1
2022-06-23 07:22:27 status half-configured libglib2.0-0:amd64 2.66.8-1
2022-06-23 07:22:27 status installed libglib2.0-0:amd64 2.66.8-1
2022-06-23 07:22:27 configure perl-modules-5.32:all 5.32.1-4+deb11u2 <none>
2022-06-23 07:22:27 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-06-23 07:22:27 status half-configured perl-modules-5.32:all 5.32.1-4+deb11u2
2022-06-23 07:22:27 status installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-06-23 07:22:27 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-06-23 07:22:27 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-06-23 07:22:27 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-06-23 07:22:27 status installed libbrotli1:amd64 1.0.9-2+b2
2022-06-23 07:22:27 configure binutils-common:amd64 2.35.2-2 <none>
2022-06-23 07:22:27 status unpacked binutils-common:amd64 2.35.2-2
2022-06-23 07:22:27 status half-configured binutils-common:amd64 2.35.2-2
2022-06-23 07:22:27 status installed binutils-common:amd64 2.35.2-2
2022-06-23 07:22:27 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-06-23 07:22:27 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-06-23 07:22:27 status half-configured libnghttp2-14:amd64 1.43.0-1
2022-06-23 07:22:27 status installed libnghttp2-14:amd64 1.43.0-1
2022-06-23 07:22:27 configure libmagic1:amd64 1:5.39-3 <none>
2022-06-23 07:22:27 status unpacked libmagic1:amd64 1:5.39-3
2022-06-23 07:22:27 status half-configured libmagic1:amd64 1:5.39-3
2022-06-23 07:22:27 status installed libmagic1:amd64 1:5.39-3
2022-06-23 07:22:27 configure linux-libc-dev:amd64 5.10.120-1 <none>
2022-06-23 07:22:27 status unpacked linux-libc-dev:amd64 5.10.120-1
2022-06-23 07:22:27 status half-configured linux-libc-dev:amd64 5.10.120-1
2022-06-23 07:22:27 status installed linux-libc-dev:amd64 5.10.120-1
2022-06-23 07:22:27 configure libctf-nobfd0:amd64 2.35.2-2 <none>
2022-06-23 07:22:27 status unpacked libctf-nobfd0:amd64 2.35.2-2
2022-06-23 07:22:27 status half-configured libctf-nobfd0:amd64 2.35.2-2
2022-06-23 07:22:27 status installed libctf-nobfd0:amd64 2.35.2-2
2022-06-23 07:22:27 configure file:amd64 1:5.39-3 <none>
2022-06-23 07:22:27 status unpacked file:amd64 1:5.39-3
2022-06-23 07:22:27 status half-configured file:amd64 1:5.39-3
2022-06-23 07:22:27 status installed file:amd64 1:5.39-3
2022-06-23 07:22:27 configure libgomp1:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libgomp1:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libgomp1:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libgomp1:amd64 10.2.1-6
2022-06-23 07:22:27 configure bzip2:amd64 1.0.8-4 <none>
2022-06-23 07:22:27 status unpacked bzip2:amd64 1.0.8-4
2022-06-23 07:22:27 status half-configured bzip2:amd64 1.0.8-4
2022-06-23 07:22:27 status installed bzip2:amd64 1.0.8-4
2022-06-23 07:22:27 configure libasan6:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libasan6:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libasan6:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libasan6:amd64 10.2.1-6
2022-06-23 07:22:27 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-06-23 07:22:27 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 configure libtirpc-dev:amd64 1.3.1-1 <none>
2022-06-23 07:22:27 status unpacked libtirpc-dev:amd64 1.3.1-1
2022-06-23 07:22:27 status half-configured libtirpc-dev:amd64 1.3.1-1
2022-06-23 07:22:27 status installed libtirpc-dev:amd64 1.3.1-1
2022-06-23 07:22:27 configure make:amd64 4.3-4.1 <none>
2022-06-23 07:22:27 status unpacked make:amd64 4.3-4.1
2022-06-23 07:22:27 status half-configured make:amd64 4.3-4.1
2022-06-23 07:22:27 status installed make:amd64 4.3-4.1
2022-06-23 07:22:27 configure libmpfr6:amd64 4.1.0-3 <none>
2022-06-23 07:22:27 status unpacked libmpfr6:amd64 4.1.0-3
2022-06-23 07:22:27 status half-configured libmpfr6:amd64 4.1.0-3
2022-06-23 07:22:27 status installed libmpfr6:amd64 4.1.0-3
2022-06-23 07:22:27 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2022-06-23 07:22:27 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-06-23 07:22:27 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-06-23 07:22:27 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-06-23 07:22:27 configure libsigsegv2:amd64 2.13-1 <none>
2022-06-23 07:22:27 status unpacked libsigsegv2:amd64 2.13-1
2022-06-23 07:22:27 status half-configured libsigsegv2:amd64 2.13-1
2022-06-23 07:22:27 status installed libsigsegv2:amd64 2.13-1
2022-06-23 07:22:27 configure xz-utils:amd64 5.2.5-2.1~deb11u1 <none>
2022-06-23 07:22:27 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-06-23 07:22:27 status half-configured xz-utils:amd64 5.2.5-2.1~deb11u1
2022-06-23 07:22:27 status installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-06-23 07:22:27 configure libquadmath0:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libquadmath0:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libquadmath0:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libquadmath0:amd64 10.2.1-6
2022-06-23 07:22:27 configure libmpc3:amd64 1.2.0-1 <none>
2022-06-23 07:22:27 status unpacked libmpc3:amd64 1.2.0-1
2022-06-23 07:22:27 status half-configured libmpc3:amd64 1.2.0-1
2022-06-23 07:22:27 status installed libmpc3:amd64 1.2.0-1
2022-06-23 07:22:27 configure libatomic1:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libatomic1:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libatomic1:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libatomic1:amd64 10.2.1-6
2022-06-23 07:22:27 configure patch:amd64 2.7.6-7 <none>
2022-06-23 07:22:27 status unpacked patch:amd64 2.7.6-7
2022-06-23 07:22:27 status half-configured patch:amd64 2.7.6-7
2022-06-23 07:22:27 status installed patch:amd64 2.7.6-7
2022-06-23 07:22:27 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-06-23 07:22:27 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 configure libubsan1:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libubsan1:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libubsan1:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libubsan1:amd64 10.2.1-6
2022-06-23 07:22:27 configure libnsl-dev:amd64 1.3.0-2 <none>
2022-06-23 07:22:27 status unpacked libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:27 status half-configured libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:27 status installed libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:27 configure libcrypt-dev:amd64 1:4.4.18-4 <none>
2022-06-23 07:22:27 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:27 status half-configured libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:27 status installed libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:27 configure libssh2-1:amd64 1.9.0-2 <none>
2022-06-23 07:22:27 status unpacked libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:27 status half-configured libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:27 status installed libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:27 configure re2c:amd64 2.0.3-1 <none>
2022-06-23 07:22:27 status unpacked re2c:amd64 2.0.3-1
2022-06-23 07:22:27 status half-configured re2c:amd64 2.0.3-1
2022-06-23 07:22:27 status installed re2c:amd64 2.0.3-1
2022-06-23 07:22:27 configure libbinutils:amd64 2.35.2-2 <none>
2022-06-23 07:22:27 status unpacked libbinutils:amd64 2.35.2-2
2022-06-23 07:22:27 status half-configured libbinutils:amd64 2.35.2-2
2022-06-23 07:22:27 status installed libbinutils:amd64 2.35.2-2
2022-06-23 07:22:27 configure libisl23:amd64 0.23-1 <none>
2022-06-23 07:22:27 status unpacked libisl23:amd64 0.23-1
2022-06-23 07:22:27 status half-configured libisl23:amd64 0.23-1
2022-06-23 07:22:27 status installed libisl23:amd64 0.23-1
2022-06-23 07:22:27 configure libc-dev-bin:amd64 2.31-13+deb11u3 <none>
2022-06-23 07:22:27 status unpacked libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:27 status half-configured libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:27 status installed libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:27 configure openssl:amd64 1.1.1n-0+deb11u2 <none>
2022-06-23 07:22:27 status unpacked openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:27 status half-configured openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:27 status installed openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:27 configure libcc1-0:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:27 configure liblsan0:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked liblsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured liblsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status installed liblsan0:amd64 10.2.1-6
2022-06-23 07:22:27 configure cpp-10:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked cpp-10:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured cpp-10:amd64 10.2.1-6
2022-06-23 07:22:27 status installed cpp-10:amd64 10.2.1-6
2022-06-23 07:22:27 configure libitm1:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libitm1:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libitm1:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libitm1:amd64 10.2.1-6
2022-06-23 07:22:27 configure libgdbm6:amd64 1.19-2 <none>
2022-06-23 07:22:27 status unpacked libgdbm6:amd64 1.19-2
2022-06-23 07:22:27 status half-configured libgdbm6:amd64 1.19-2
2022-06-23 07:22:27 status installed libgdbm6:amd64 1.19-2
2022-06-23 07:22:27 configure libtsan0:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libtsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libtsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libtsan0:amd64 10.2.1-6
2022-06-23 07:22:27 configure libctf0:amd64 2.35.2-2 <none>
2022-06-23 07:22:27 status unpacked libctf0:amd64 2.35.2-2
2022-06-23 07:22:27 status half-configured libctf0:amd64 2.35.2-2
2022-06-23 07:22:27 status installed libctf0:amd64 2.35.2-2
2022-06-23 07:22:27 configure libgcc-10-dev:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libgcc-10-dev:amd64 10.2.1-6
2022-06-23 07:22:27 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
